Date Time RTD Vsamp
2020-02-24 16:46:18.901252 1113.40503 0.00194169
2020-02-24 16:46:18.944255 1113.40702 0.00194169
2020-02-24 16:46:18.988257 1113.40901 0.00194169
2020-02-24 16:46:19.033260 1113.40923 0.00194169
2020-02-24 16:46:19.078262 1113.40828 0.00194169
2020-02-24 16:46:19.121265 1113.40901 0.00194169
2020-02-24 16:46:19.165267 1113.40982 0.00194169
2020-02-24 16:46:19.205270 1113.41078 0.00194169
2020-02-24 16:46:19.236271 1113.41027 0.00194169
2020-02-24 16:46:19.268273 1113.40835 0.00194169
2020-02-24 16:46:19.312276 1113.40776 0.00194169
2020-02-24 16:46:19.355278 1113.41004 0.00194169
2020-02-24 16:46:19.400281 1113.41181 0.00194169
2020-02-24 16:46:19.447283 1113.41137 0.00194169
2020-02-24 16:46:19.490286 1113.41181 0.00194169
2020-02-24 16:46:19.534288 1113.41476 0.00194169
2020-02-24 16:46:19.577291 1113.41741 0.00194169
2020-02-24 16:46:19.617293 1113.41808 0.00194169
2020-02-24 16:46:19.650295 1113.41911 0.00194169
2020-02-24 16:46:19.683297 1113.4208 0.00194169
2020-02-24 16:46:19.724299 1113.42073 0.00194169
2020-02-24 16:46:19.756301 1113.42368 0.00194169
2020-02-24 16:46:19.788303 1113.42397 0.00194169
